trace,variant,stack_distance_min,stack_distance_q1,stack_distance_q2,stack_distance_q3,stack_distance_max,stack_distance_skewness,ws_0_1pct_min,ws_0_1pct_q1,ws_0_1pct_q2,ws_0_1pct_q3,ws_0_1pct_max,ws_0_1pct_skewness,ws_1pct_min,ws_1pct_q1,ws_1pct_q2,ws_1pct_q3,ws_1pct_max,ws_1pct_skewness,ws_10pct_min,ws_10pct_q1,ws_10pct_q2,ws_10pct_q3,ws_10pct_max,ws_10pct_skewness,zipf_alpha,cardinality,miss_req_sieve_1pct,miss_req_sieve_10pct,miss_req_sieve_25pct,miss_req_sieve_50pct,miss_req_wtinylfu_1pct,miss_req_wtinylfu_10pct,miss_req_wtinylfu_25pct,miss_req_wtinylfu_50pct,miss_req_lirs_1pct,miss_req_lirs_10pct,miss_req_lirs_25pct,miss_req_lirs_50pct,miss_req_arc_1pct,miss_req_arc_10pct,miss_req_arc_25pct,miss_req_arc_50pct,miss_req_slru_1pct,miss_req_slru_10pct,miss_req_slru_25pct,miss_req_slru_50pct,miss_req_random_1pct,miss_req_random_10pct,miss_req_random_25pct,miss_req_random_50pct
202210_meta_kv,normal,1.0,1.0,1.0,4818.0,203347.0,3.6513607193575717,1.0,66.0,111.0,146.0,196.0,-0.4201280607866751,1.0,856.0,1067.0,1191.0,1585.0,-0.9239920566852287,2340.0,7588.0,8780.0,9726.0,11551.0,-0.7990089784422136,2.115647342190871,204735.0,0.3999,0.2698,0.2361,0.2141,0.3486,0.2529,0.2274,0.2131,0.3583,0.2471,0.2202,0.2113,0.3977,0.2708,0.2368,0.2138,0.3945,0.2785,0.2441,0.2213,0.4445,0.3261,0.2715,0.2314
202210_meta_kv,shuffled,1.0,271.0,2719.0,15562.0,203352.0,2.914286995347679,156.0,176.0,179.0,183.0,199.0,-0.18512358537813395,1382.0,1467.0,1502.0,1525.0,1601.0,-0.14122418893244473,10343.0,10509.0,11228.0,11327.0,11724.0,-0.2191780074288347,2.115647342190871,204735.0,0.4778,0.3104,0.2482,0.2145,0.4211,0.2702,0.236,0.2175,0.4265,0.2611,0.2276,0.2167,0.4703,0.3004,0.2494,0.2143,0.4817,0.3158,0.2671,0.2276,0.6288,0.3987,0.2977,0.2385
202401_meta_kv,normal,1.0,1.0,1.0,3115.0,228616.0,4.134575180733713,1.0,88.0,125.0,149.0,221.0,-0.5670296032463732,1.0,893.0,1176.0,1336.0,1705.0,-0.7966320869967224,2300.0,8303.0,9621.0,10601.0,12017.0,-0.8830703029593345,2.1832763671874975,230455.0,0.4205,0.3091,0.2698,0.243,0.3815,0.2862,0.26,0.2417,0.3889,0.2897,0.258,0.24,0.4183,0.3106,0.2714,0.2431,0.4213,0.3136,0.2727,0.2467,0.4484,0.3428,0.2918,0.2545
202401_meta_kv,shuffled,1.0,212.0,1934.0,13378.0,229520.0,3.2500100055724324,175.0,197.0,201.0,206.0,223.0,-0.14786097539756676,1502.0,1572.0,1633.0,1690.0,1780.0,-0.015815184991794504,11115.0,11334.0,11920.0,12563.0,12843.0,-0.011291359562730573,2.1832763671874975,230455.0,0.5434,0.3746,0.3044,0.2474,0.4728,0.3264,0.2793,0.2506,0.4792,0.3255,0.2712,0.2477,0.5545,0.3573,0.2931,0.2475,0.5469,0.3717,0.3009,0.2555,0.6643,0.4338,0.3306,0.265
alibaba_block_38,normal,1.0,16405.0,27655.0,41563.0,119214.0,0.8405256984304114,113.0,119.0,119.0,119.0,119.0,-2.716564989557401,1142.0,1170.0,1175.0,1180.0,1194.0,-0.2028489565968959,10757.0,11354.0,11456.0,11549.0,11725.0,-1.4695459728136602,1.8483586536680474,119069.0,0.9726,0.9217,0.506,0.2262,0.9632,0.6374,0.3097,0.1804,0.9402,0.6991,0.3778,0.1738,0.9716,0.7616,0.4055,0.1748,0.9346,0.5923,0.356,0.1538,0.9774,0.806,0.5024,0.2394
alibaba_block_38,shuffled,1.0,14334.5,29891.0,48053.0,119124.0,0.5729597147374192,116.0,119.0,119.0,119.0,119.0,-2.937490357712942,1173.0,1185.0,1187.0,1189.0,1197.0,-0.29344459681202434,10753.0,10910.0,10936.0,10958.0,11045.0,-0.9274764862934222,1.8483586536680474,119069.0,0.9706,0.74,0.4518,0.2287,0.9556,0.6553,0.3481,0.1916,0.9601,0.7214,0.4273,0.1866,0.9698,0.7439,0.4612,0.1903,0.9531,0.6416,0.3998,0.1833,0.9778,0.7927,0.5399,0.2724
cluster17,normal,1.0,26.0,149.0,887.0,40208.0,4.9175517014748085,1.0,31.0,33.0,35.0,40.0,-1.0268213403496036,175.0,222.0,231.0,240.0,280.0,-0.15678819187330234,1145.0,1269.0,1319.0,1373.0,1475.0,0.027787937491662307,1.6883475834041213,39749.0,0.3381,0.1148,0.0674,0.0473,0.3358,0.1108,0.0656,0.048,0.3488,0.1129,0.0652,0.0472,0.3871,0.1157,0.0669,0.047,0.3611,0.1198,0.0682,0.0478,0.4701,0.1727,0.0964,0.0588
cluster17,shuffled,1.0,34.0,201.0,1242.0,40120.0,4.264133038543696,21.0,32.0,34.0,36.0,40.0,-0.278749797290366,198.0,237.0,244.0,252.0,285.0,0.034768137654948565,1305.0,1419.0,1449.0,1486.0,1565.0,0.03406062374087091,1.6883475834041213,39749.0,0.3581,0.1319,0.0757,0.048,0.3628,0.124,0.0686,0.0486,0.3736,0.1293,0.0691,0.0481,0.4275,0.1311,0.0706,0.0477,0.3952,0.1405,0.0748,0.0486,0.5141,0.2029,0.1094,0.0621
cluster18,normal,1.0,11.0,109.0,1710.0,74781.0,4.67567486175855,1.0,48.0,52.0,56.0,75.0,-0.5949769628451547,103.0,354.0,371.0,390.0,579.0,1.303701891518465,1948.0,2417.0,2472.0,2536.0,3523.0,1.9538866581486278,1.948905327327604,77240.0,0.3694,0.1621,0.1044,0.0881,0.4002,0.1567,0.1086,0.0874,0.4059,0.1614,0.1082,0.0859,0.389,0.1739,0.111,0.085,0.3799,0.1666,0.1076,0.0841,0.4355,0.2143,0.137,0.0973
cluster18,shuffled,1.0,176.0,1322.0,5847.0,75290.0,2.8827347980710543,50.0,66.0,68.0,70.0,75.0,-0.3760109517200145,498.0,550.0,560.0,569.0,606.0,-0.3886280071043836,3348.0,3754.0,3791.0,3821.0,3934.0,-1.9248928279898365,1.948905327327604,77240.0,0.5514,0.251,0.1636,0.0923,0.5373,0.2362,0.1469,0.0978,0.5519,0.2438,0.1376,0.0942,0.6041,0.2447,0.138,0.0901,0.5805,0.2597,0.1417,0.0882,0.6785,0.3406,0.1946,0.1099
